id,customer_message,intent,expected_action,reference_reply_or_resolution,top_retrieval_score,intent_confidence,notes
GS_0025,@SpotifyCares LOL thank you!!!!!!!!,general_inquiry,auto_handle,@497465 No worries! Just give us a shout if you need anything else. We're... https://t.co/zOXI69QSqg /TB,1.0,0.6357,
GS_0026,@148611 @SpotifyCares  help! I already paid for Spotify Premium thru SM bills payment but my account is still on free 😓,account_access,auto_handle,"@568987 Hey there, help's here! Can you DM us your account's username and email address? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt",1.0,0.5569,
GS_0027,"@SpotifyCares The US,, I'm sure they aren't available, they're pretty rare, to even buy",general_inquiry,auto_handle,"@130007 Thanks! We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa. For anything else, let us know /GU",1.0,0.4854,
GS_0028,Still no iPhone X support for the @115888 app and they just pushed a new update!? Come on guys!,app_crash_or_bug,auto_handle,"@245062 Hey! We don't have any info from our developers on this right now, but you can vote for the idea here: https://t.co/rme49TNxKx /TJ",1.0,0.5542,
GS_0029,@115888 what's going on with the phone app? I can't share songs :(,app_crash_or_bug,auto_handle,"@215152 Hi Lauren, help's here. Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /NY",1.0,0.7325,action corrected: escalate -> auto_handle
GS_0030,"@SpotifyCares Additionally, it could provide metric on discover weekly 'success' via song retention. e.g. how many of the 30 songs are users 'keeping' per month? Will vote, ty.",general_inquiry,auto_handle,@700300 We appreciate the additional feedback; we'll pass this on to the right team! Let us know if there's anything else we can help with /KB,1.0,0.4621,intent corrected: playback_issue -> general_inquiry
GS_0031,"@SpotifyCares ... previously-played songs. Sorry for the multiple tweets, it's difficult to explain all my thoughts in 140 characters.",general_inquiry,auto_handle,@212273 Thanks for clearing that up. You can help make it happen by showing your support to the official idea at https://t.co/4bIuor8amo /MG,1.0,0.4676,intent corrected: playback_issue -> general_inquiry
GS_0032,@115888 are DW playlists now only updated every other week? :(,general_inquiry,auto_handle,@556111 Hey Corinna! Your Discover Weekly should update every Monday. Does logging out &gt; restarting the device &gt; logging back in help? /KL,1.0,0.5151,
GS_0033,"@SpotifyCares  I have  premium account and log in via Facebook.   I get the message someone else is using my spotify, when I am on Sonos.",account_access,auto_handle,"@714997 Hey! Can you DM us your account's email address, along with a screenshot of what you're seeing on your end? We'll take a look backstage /MC https://t.co/ldFdZRiNAt",1.0,0.5532,
GS_0034,"@SpotifyCares Seems to have sorted itself now, wasn’t downloading the page, thanks for getting back to me though😊",resolved_followup,auto_handle,@431966 You're welcome! Glad to hear it's working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ 🙂 /AU,1.0,0.4874,
GS_0035,"Well, since @115888 wants to tell me I’m not a student I guess they can reimburse me tuition too. 🤬",subscription_billing,auto_handle,"@802641 Hey there! Are you having any issues signing up for the student discount? If so, can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt",1.0,0.5073,
GS_0036,@SpotifyCares Android app asks to log on but when I try it says I'm set to offline. Then gets stuck in a loop. 7gb of downloads I need to access!,app_crash_or_bug,auto_handle,@722997 Hey Richard! Help's here. Can you let us know the Android and Spotify versions you're running? We'll see what we can suggest /KM,1.0,0.4834,
GS_0037,@115888 what are the requirements before an artist can be put on your app? There’s a guy I onow@who makes music on YouTube but he isn’t on the app.,general_inquiry,auto_handle,"@241232 Hey, great question! There are no requirements, but artists can start by choosing a distributor/aggregator that can get their music on Spotify. There's more info here: https://t.co/1k4BVkvGEX. Hope this explains it /GS",1.0,0.621,intent corrected: app_crash_or_bug -> general_inquiry
GS_0038,@SpotifyCares Okay thanks so much for the help!!,resolved_followup,auto_handle,@296951 No worries! Be sure to keep us posted on the results /CB,1.0,0.7104,
GS_0039,@SpotifyCares hi just got an email from you that my email address has been changed and it was NOT me. Concerned I've been hacked.,account_access,escalate,@437464 Hey Kate! We've just sent a DM your way. Check your Messages /MV,1.0,0.4845,
GS_0040,@SpotifyCares my account was hacked and email and password were changed on my spotify account,account_access,escalate,@584380 Hey there. Sorry to hear about that! We suggest you follow the steps at https://t.co/QHn3ok8y2n. We hope that helps /CB,1.0,0.9214,
GS_0041,"@SpotifyCares I'd like to clarify that I am on a UK student premium acc that's due to expire, and as I'm back in M'sia I'd like to get on my family's plan",family_plan,auto_handle,"@609815 Hey there! We'll help out, don't worry. Can you DM us your account's username or email address? We'll see what we can suggest /GN https://t.co/ldFdZRiNAt",1.0,0.5686,
GS_0042,"@SpotifyCares Thanks. Spotify premium, family. Using Windows laptop (Lenovo). v1.0.65.320.gac7a8e02.... should be most recent version.",connectivity_device,auto_handle,@326217 Thanks. Can you DM us your account's email address? We'll lend a hand /MV https://t.co/ldFdZRiNAt,1.0,0.4352,
GS_0043,"Hey, @115888 let's get some more Female artists on that Hot Country playlist. There's too much talent out there to have to scroll through 18+ male artists before I get one @285513 @466945 @19890 (etc.) song.",general_inquiry,auto_handle,"@742216 Hey Emily, thanks for the feedback! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /TR",1.0,0.4505,intent corrected: playback_issue -> general_inquiry
GS_0044,@SpotifyCares please update your colleges database because I've couldn't subscribe student membership. Thx,subscription_billing,auto_handle,@151124 Hey! Help's here. Could you DM us your account's email address or username? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,1.0,0.5109,
GS_0045,"@117168
Tech support Q? Just added my son to family account. How do I cancel his $9.99/mo subscription? He now shows up under my account",family_plan,auto_handle,"@607314 Hey Eric, help's here! Can you DM us the email address of your son's account? We'll see what we can suggest /MO https://t.co/ldFdZRiNAt",1.0,0.5226,
GS_0046,@SpotifyCares I need to reset password...The password reset link doesn't arrive. Spotify support processes are really rubbish!,account_access,auto_handle,"@740007 Hi, sorry to hear you feel that way! Could you DM us your account's email address? We'll see what we can do to help you out /CX https://t.co/ldFdZRiNAt",1.0,0.3935,intent corrected: connectivity_device -> account_access; action corrected: escalate -> auto_handle
GS_0047,"@SpotifyCares Hey, how do I upload mp3s to my Spotify playlist? I don't have a laptop/computer, so I can't follow the PC instructions.",general_inquiry,auto_handle,@438119 Hey there! We're afraid you'll need a Desktop to be able to sync your local files to your mobile device: https://t.co/SgMwFS1ONz /DB,1.0,0.503,intent corrected: playback_issue -> general_inquiry
GS_0048,@SpotifyCares This was the desktop app!,app_crash_or_bug,auto_handle,@141634 Thanks! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link /DF,1.0,0.9259,
GS_0049,@115888 my account has been hacked! https://t.co/blVdIIweCA,account_access,escalate,@529029 2: We'd suggest to check out https://t.co/QHn3ok8y2n for what to do next. Let us know if we can help with anything else /GN,1.0,0.8727,
GS_0050,@SpotifyCares Having problems with my student account. It's charging me 10 dollars instead of 5 every month.,subscription_billing,auto_handle,@315388 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,1.0,0.5265,
GS_0051,isn't the point in paying for music is so it actually downloads and plays when you want it to? Thanks @115888,resolved_followup,auto_handle,"@731459 Hey Matt! Help's here. Can you tell us more about what's happening? Also, what device, operating system, and Spotify version you're rocking? We'll see what we can suggest /RA",1.0,0.4492,
GS_0052,@115888 Just signed up for premium and I can't turn off explicit songs???  Not good for work or around the kids.  Why not add this option to turn off explicit songs???,general_inquiry,auto_handle,@779836 Hi Donny! We can see how that’d be useful. You can vote for the official idea at https://t.co/CdI1SXS9B4 /NH,1.0,0.4908,intent corrected: playback_issue -> general_inquiry
GS_0053,@SpotifyCares I can no longer change songs using my car controls as of last week. I did delete and re download the app. Still not working.,app_crash_or_bug,auto_handle,"@333644 Hey Brendan, help's here! Let's start by doing a quick restart of your device. This will refresh your device's cache. Keep us posted /BX",1.0,0.4882,
GS_0054,"@115888 Hi, I signed up through UNiDAYS but I was still charged £9.99, why is this?",subscription_billing,auto_handle,"@771734 Hey Aaron, help's here! Could you DM us your email address and username? We'll take a closer look /JQ https://t.co/ldFdZRiNAt",1.0,0.4006,
GS_0055,@115888  why is it that I have to pay the whole month subscription price when availing the 9php promo?,subscription_billing,auto_handle,"@775715 Hi, help's here! Can you DM us your account's email address? We'll look into this for you /RR https://t.co/ldFdZRiNAt",1.0,0.478,intent corrected: general_inquiry -> subscription_billing
GS_0056,"@SpotifyCares You don't have specific dates for the launch?
I'd like use the app.",general_inquiry,auto_handle,"@186387 We don't have any specific info to share about this, so make sure to keep an eye out for any updates /PL",1.0,0.5796,intent corrected: app_crash_or_bug -> general_inquiry
GS_0057,@115888 I can't login to my account &amp; I can't find a customer service. Please help. NEED MUSIC,account_access,auto_handle,"@575276 Hi Kelly, help's here! Can you DM us your account's username or email address? We'll take a look and see what we can suggest /MC https://t.co/ldFdZRiNAt",1.0,0.6403,
GS_0058,@SpotifyCares Ok thanks I was just messing,resolved_followup,auto_handle,@806766 No worries! Let us know if we can help with anything else /CE,1.0,0.5747,
GS_0059,@SpotifyCares I am waiting my sister for sending her mail account.,account_access,auto_handle,@351270 Sure thing. You can DM it to us anytime 🙂 /MU https://t.co/ldFdZRiNAt,1.0,0.5169,
GS_0060,"thanks, @SpotifyCares and @115888 for helping me out. that stupid leech can go get free music elsewhere.",resolved_followup,auto_handle,"@597469 We're happy to help! If you need us again, just... https://t.co/AUc7DGJpgF /RV",1.0,0.5329,
GS_0061,@SpotifyCares I’m not from US/UK. Is there any way you can help now?,account_access,auto_handle,"@221342 Got it. If you could tell us what country you're currently in, we'll see what we can suggest /AN",1.0,0.4017,
GS_0062,"Hi @SpotifyCares every time I want to share a song, Spotify goes black and stops the song - can't share but used to be able to, help? 💔",connectivity_device,auto_handle,@318791 Hi Jocelyn! Can you let us know what device and version of Spotify you're using? We'll see what we can suggest /DR,1.0,0.422,
GS_0063,@SpotifyCares you need to change the coding on suggested songs to play ONLY after playlists. I had 6 before my playlist songs even started,general_inquiry,auto_handle,@128729 Hey Mike! Can you DM us your account's email address or username? We'll take a look backstage /JE https://t.co/ldFdZRiNAt,1.0,0.8676,intent corrected: playback_issue -> general_inquiry
GS_0064,"@115888 High school students use Spotify a lot, I feel like Spotify should offer a deal for any student that is either in high school or college!!!!!",general_inquiry,auto_handle,"@245692 Hi there. We appreciate your feedback on this, and we'll be sure to pass it on to the right folks. In the meantime, you can check out other offers such as the Family plan at https://t.co/LESfq9LesY. Let us know if we can help with anything else /LM",1.0,0.4891,intent corrected: connectivity_device -> general_inquiry
GS_0065,Ugh I want to sign up for the @115888 /Hulu student but apprently Im not a student of my own university @-@?! Ugh,subscription_billing,auto_handle,@584375 1: Hi! We're sorry to hear that. We're afraid the student discount + Hulu bundle is only available for college or university students. /AU,1.0,0.6581,
GS_0066,@SpotifyCares I released a new single today but its come under the wrong artist name on Spotify. Could you rectify this asap?,general_inquiry,auto_handle,@557140 Hey there! You'll need to reach out to your distributor to get this fixed up. There's some more info here: https://t.co/wljA2WvAjK /DB,1.0,0.4675,intent corrected: connectivity_device -> general_inquiry
GS_0067,"@SpotifyCares when I accept the invite for Spotify family, I enter my info and get ""Oops something went wrong...""",family_plan,auto_handle,"@615340 Hey Jack, help's arrived! Could you send us a DM with your account's email address and username? We'll take a look backstage /RV https://t.co/ldFdZRiNAt",1.0,0.5781,
GS_0068,"@SpotifyCares hiya. I'm frozen out of my premium account. Email you had was gobblydeegook and I can't remember password! Help,pls",account_access,auto_handle,"@597179 Hey Stuart! We'll help out, don't worry. Can you send us your account's username or email address via DM? We'll see what we can suggest /GN https://t.co/ldFdZRiNAt",1.0,0.7798,
GS_0069,Still don’t understand why @115888  doesn’t have a Apple Watch app still like seriously get with the program,general_inquiry,auto_handle,"@266192 Hey! We hear you. Rest assured, your feedback will be passed on to the right folks /NQ",1.0,0.5271,intent corrected: app_crash_or_bug -> general_inquiry
GS_0070,@SpotifyCares would my stats from the new page be combined to the old one? don't want to lose out on the traffic that has been produced.,general_inquiry,auto_handle,"@191656 That's right! Don't worry, our team will sort everything out with your distributor. For anything else, just give us a shout 🙂 /MA",1.0,0.5382,
GS_0071,"Okay, am I the only one who's had major glitches nonstop with the @115888 app for the past 2 weeks?",app_crash_or_bug,auto_handle,"@302988 Hey there, help has arrived. What's happening exactly? Can you let us know your device model/OS and the Spotify version you're using? /ME",1.0,0.5165,
GS_0072,"@SpotifyCares catalog songs...the local files are the only ones that remain available for offline listening, thanks.",resolved_followup,auto_handle,@306911 Got it. You can check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /MT,1.0,0.4382,
GS_0073,"dudee ""bad internet rapper"" just got pulled from spotify. I haven't gotten any message or any reason why. What's the deal?? @115888",general_inquiry,auto_handle,@187300 Hey there! We've just sent you a bit more info over DM. We'll carry on helping out there /GN,1.0,0.4398,intent corrected: connectivity_device -> general_inquiry; action corrected: escalate -> auto_handle
GS_0074,@SpotifyCares Why have I been charged £9.99 this month when I usually pay £4.99 cos I’m a student??,subscription_billing,auto_handle,@482698 Hey Morgan! Help's here. Could you DM us your account's email address? We'll check under the hood /KT https://t.co/ldFdZRiNAt,1.0,0.6253,
GS_0075,"@SpotifyCares I am sad that you stopped allowing student discounts NUS cards, mostly because you gave me no warning just started charging me double :(",subscription_billing,auto_handle,"@150786 Hey Jennifer, we're here to help! Could you DM us your account's email address and username? We'll take a look backstage /BX https://t.co/ldFdZRiNAt",1.0,0.4498,
GS_0076,@SpotifyCares my spotify got hacked again?! plz help,connectivity_device,auto_handle,"@793474 Hi, help's here! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",1.0,0.4452,
GS_0077,@SpotifyCares the app keeps freezing.. every 2 mins,app_crash_or_bug,auto_handle,"@474386 Hey, we're here to help. What device, operating system, and Spotify version are you using? We'll see what we can suggest /RA",1.0,0.7172,
GS_0078,"@SpotifyCares my student account got deactivated until I reset my student status and now my hulu will not work, nor can I activate hulu to fix it (hulu cannot verify my spotify account or something)",subscription_billing,auto_handle,@783554 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt,1.0,0.6299,
GS_0079,@SpotifyCares why am I being charged for a full price membership now underway of a student one? Am still at uni?? Wasn't told it would go up https://t.co/c72JWDOVfD,subscription_billing,auto_handle,@325697 Hey Jo! Can you DM us your account's username and email address? We'll take a look backstage /TF https://t.co/ldFdZRiNAt,1.0,0.6398,
GS_0080,"@115888 got an idea, why don't you add a feature that you can add a playlist to the queue?",general_inquiry,auto_handle,"@618961 Hey there! This isn't possible right now, but you can vote for the idea and help make it happen here: https://t.co/1C2irRNpwm /GK",1.0,0.4867,intent corrected: playback_issue -> general_inquiry
GS_0081,@SpotifyCares account won’t log in. Can’t access emails and change password. Please help,account_access,auto_handle,"@779857 Hey there! We just sent you a reply to your DM, we'll continue assisting you there /TF",1.0,0.5336,
GS_0082,"Ascult cele mai tari hituri ale celebrei cantarete, SIA pe aplicatia #Spotify de pe calculator, cea mai tare... https://t.co/GJIVXlGIqq",general_inquiry,auto_handle,"@256289 Hey! We hope you don't mind us replying in English. We're afraid Spotify isn't available in Romania yet. Don't worry, we're launching regularly around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /RC",1.0,0.4528,intent corrected: connectivity_device -> general_inquiry
GS_0083,"@SpotifyCares Ok, but why? Surely it can easily be altered at your end to be included? Disappointing that being a Family customer means we miss out",family_plan,auto_handle,@551943 2: Rest assured that all of these are passed on to the right folks /PL,1.0,0.4701,
GS_0084,@SpotifyCares Thanks. Love you. That's why I have a family plan instead of a student. You guys listen ♥️,family_plan,auto_handle,"@367700 Aww, you're making us blush, but we... https://t.co/Rkb5PJblbW. Let us know if you need anything else /DD",1.0,0.5552,
GS_0085,@SpotifyCares I request the discount for students 2 weeks ago and my request was not accepted yet. What is wrong? Need help!!,subscription_billing,auto_handle,@663678 Hey Nicole! The cavalry's here. Could you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt,1.0,0.3871,intent corrected: account_access -> subscription_billing; action corrected: escalate -> auto_handle
GS_0086,"@115888 @SpotifyCares - Amazing chat interface, great customer service! Really setting the standard for simplicity. Thanks Daniel M",resolved_followup,auto_handle,@783742 Hi Nathan. Thanks for the kind words. Glad to have you with us - rock on! Let us know if we can help with anything else. We're... https://t.co/zOXI6a8thO /DN,1.0,0.4164,
GS_0087,I set up Spotify to link to last.fm and it said my email wasn't valid and now I get an error message every hour or so despite telling Spotify to not link and oh god another email...,account_access,auto_handle,"@731452 Hey, help's here! Can you DM us your account's email address along with a screenshot of the error message that keeps popping up? We'll figure out what's going on 🔧 /RR https://t.co/ldFdZRiNAt",1.0,0.4862,intent corrected: connectivity_device -> account_access
GS_0088,"@115888 I bought a Family account, but am not able to invite family membert. I invited them, but they can't redeem the code i send. HELP",family_plan,auto_handle,"@539991 Hey Francois, sorry for the delay! Can you DM us your account's email address and username? We'll take a look backstage /JX https://t.co/ldFdZRiNAt",1.0,0.7823,
GS_0089,@SpotifyCares I have been asking for a year 🙄🙄,general_inquiry,auto_handle,"@593241 Hi there, we appreciate your feedback! Don't worry, we'll let the right team know this is something you'd like to see /GK",1.0,0.5593,
GS_0090,@115888 Never does. Only played 1 or 2 songs n then pure ads or just stays.stuck on a loading ad,playback_issue,auto_handle,@392237 Which device/OS and Spotify version are you using? Can you also DM us your account's username or email? We'll check things out backstage /YM https://t.co/ldFdZRiNAt,1.0,0.4933,
GS_0091,@SpotifyCares every time i try to share a song my app closes and my song restarts whats the deal,app_crash_or_bug,auto_handle,"@318486 Hey there! Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /NS",1.0,0.5175,
GS_0092,Yo @SpotifyCares I keep trying to apply for the student discount but it keeps telling me my 'csrf token' is invalid???????,subscription_billing,auto_handle,@545626 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,1.0,0.4912,
GS_0093,Been logged out of Spotify :(((((,account_access,auto_handle,@389345 Hey Serena! Can you give us more info on what's happening? We'll see what we can suggest /DB,1.0,0.7579,intent corrected: connectivity_device -> account_access; action corrected: escalate -> auto_handle
GS_0094,"Dear @SpotifyCares, can we stop putting edited songs in the Daily Mixes? I'm expecting explicit content if listening to @13987, @10022, @62966 and more.",general_inquiry,auto_handle,@315385 Hey there. We hear you loud and clear! We can’t make any promises but we’ll pass your feedback onto the right folks /LS,1.0,0.4448,intent corrected: playback_issue -> general_inquiry
GS_0095,"Hi @115888, i've got trouble when try to confirm information for family. Could you help me? Thanks https://t.co/QPds2cencT",family_plan,auto_handle,"@562706 Hi Stefanus, help's here! Can you DM us your account's email address? We'll check under the hood /NY https://t.co/ldFdZRiNAt",1.0,0.5136,
GS_0096,"@115888 release this now,thanks.. https://t.co/8F0m4C0hGH",resolved_followup,auto_handle,@729122 Hi Sarrvish! We'd love to have them on Spotify. Hopefully we will in the future. Check this out: https://t.co/MEjmIRL2eB /HR,1.0,0.6943,
GS_0097,@SpotifyCares hi - I can't play a lot of the songs. Getting error message. Help?,playback_issue,auto_handle,"@463179 Hey Pedro, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",1.0,0.4752,
GS_0098,@115888. Fuck you spotify https://t.co/RkmbbKlSUO,general_inquiry,auto_handle,@644383 Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest /JI,1.0,0.7079,intent corrected: connectivity_device -> general_inquiry
GS_0099,"Why did Spotify take away my student acc hulu bundle?Just got charged $10 when it should have been 5, and cant log on to hulu @SpotifyCares",subscription_billing,auto_handle,@413443 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZRiNAt,1.0,0.5355,
GS_0100,@115888 what kind of christmas playlist doesn’t have mariah carey on it? :// problematic https://t.co/xV5qskyD0S,general_inquiry,auto_handle,"@641294 Hi! We appreciate the feedback. Our Curation team's independent, but we’ll pass on your suggestion. Let us know if there's anything else /MC",1.0,0.5023,intent corrected: playback_issue -> general_inquiry
GS_0101,"@SpotifyCares Version 10.10.5 OSX Yoesmite. No changes to system. I own 3 Spotify accounts and no matter which is open, after a short while, it just goes",connectivity_device,auto_handle,@126763 That's odd. Can you DM us your account's email address? We'll take a look under the hood /QI https://t.co/ldFdZRiNAt,1.0,0.4244,
GS_0102,@115888 ur app on Xbox is tripping after that update #XboxOne,app_crash_or_bug,auto_handle,"@804700 Hey, help's here. This doesn't sound good. What issues are you having? We'll see what we can suggest /JZ",1.0,0.757,
GS_0103,@115888 why to promote 99€/12mo campaign price on an app that leads to a landing page where I can't make the order? Ok don't take my money then... 🤔 bad #CX,app_crash_or_bug,auto_handle,"@251266 Hi Henri! Help's here. Just to check, are you getting any error messages? A screenshot can be handy /AU",1.0,0.4438,
GS_0104,"@SpotifyCares signed up for student discount premium 2 weeks ago,  Still does not show up as my subscription. Student status not verified?",subscription_billing,auto_handle,@411963 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,1.0,0.6894,
GS_0105,@115888 why is your app so slow? It's now so bad that I click play on a downloaded track and wait till it plays.,app_crash_or_bug,auto_handle,"@254915 Hey! Can you let us know which device and operating system you're using? Also, is this happening over WiFi or 3G/4G? /NQ",1.0,0.5407,
